id,State,ST,Fips,County,Precincts,Votes,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,White,Black,Hispanic,Asian,Amerindian,Other,White  Asian,Sire Homogeneity,Median Age,lon,lat,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,elevation,Annual Prcp,Winter Prcp,Summer Prcp,Spring Prcp,Autumn Prcp,Annual Tavg,Annual Tmax,Annual Tmin,Winter Tavg,Winter Tmax,Winter Tmin,Summer Tavg,Summer Tmax,Summer Tmin,Spring Tavg,Spring Tmax,Spring Tmin,Autumn Tavg,Autumn Tmax,Autumn Tmin,Nearest County,temp,precip,reporting,Est Votes Remaining,total16,total08,total12,other08,other12,Winner
10,New Jersey,NJ,34029,"Ocean County, New Jersey",413.0,259592.0,10.9,89.1,24.3,7.8,79.45,35055.427939999994,86.6,3.05,0.1,1.75,1.0,7.55,17.85,5.8,570997,57.6,8.45,0.426,14.05,33.75,17.1,28.5,0.1,11.4,9.15,86.6,3.05,7.55,1.75,0.1,1.0,88.35,0.75699375,42.4,-74.2630272,39.8658498,3.4,3.5,0.06,19.1,0.205,0.17300000000000001,0.264,0.111,127.4,120.3,0.127,0.10300000000000001,120.14,1.52,40.9,3.7,2.25,4429.5,1054.0,1188.5,1130.0,1057.0,539.0,628.5,449.5,349.0,433.5,264.5,730.0,819.0,641.0,504.0,595.5,413.0,569.0,662.0,475.0,34029.0,12.16666667,1125.093,413.0,0.0,259592.0,274298.0,251853.0,3432.0,3079.0,1
11,Iowa,IA,19155,"Pottawattamie County, Iowa",41.0,42226.0,11.5,88.5,17.3,5.1,74.25,28928.282539999997,91.1,1.15,0.35,0.6,1.35,5.45,21.1,7.9,91392,43.3,11.7,0.39899999999999997,16.95,28.2,17.15,28.45,0.7,10.95,14.45,91.1,1.15,5.45,0.6,0.35,1.35,91.7,0.833254,38.2,-95.5449053,41.3401835,2.9,3.2,0.08,40.4,0.368,0.215,0.336,0.1,321.9,96.5,0.115,0.046,720.05,3.75,59.9,7.2,356.6,3466.5,298.0,1369.0,1067.5,732.0,,,,,,,,,,,,,,,,19155.0,,880.4910000000001,41.0,0.0,42226.0,42324.0,42301.0,651.0,797.0,1
12,New Mexico,NM,35015,"Eddy County, New Mexico",41.0,19602.0,19.8,80.2,15.1,5.8,74.9,26591.29778,52.8,1.2,0.55,0.6,1.6,43.2,19.1,10.95,52588,52.3,14.35,0.46799999999999997,18.15,30.0,16.5,23.55,1.65,16.2,12.05,52.8,1.2,43.2,0.6,0.55,1.6,53.4,0.46587425,37.4,-104.3064708,32.4578575,4.7,4.5,0.08,79.1,0.34299999999999997,0.209,0.287,0.10800000000000001,380.4,36.6,0.179,0.040999999999999995,628.47,7.67,110.5,6.1,1096.75,1421.75,158.5,615.75,246.25,401.25,619.25,766.5,471.5,441.25,588.5,293.75,790.25,928.5,652.0,621.875,780.0,463.75,619.5,765.75,473.375,35015.0,16.625,361.1245,41.0,0.0,19602.0,20093.0,19269.0,242.0,544.0,1
13,Texas,TX,48143,"Erath County, Texas",22.0,13810.0,20.5,79.5,24.0,7.7,76.35,21170.73207,78.25,1.05,0.45,0.6,1.25,18.35,28.75,15.15,36672,43.5,20.7,0.466,20.0,30.55,13.35,25.75,4.45,10.9,15.15,78.25,1.05,18.35,0.6,0.45,1.25,78.85,0.64630125,31.7,-98.22237690000001,32.2381358,3.9,4.2,0.07,30.6,0.294,,0.281,0.091,342.3,34.0,0.32299999999999995,0.055,184.38,4.3,66.3,,387.5,3357.666667,614.0,863.0,990.6666667000002,890.0,,,,,,,,,,,,,,,,48143.0,,852.8473332999998,22.0,0.0,13810.0,14019.0,12473.0,123.0,179.0,1
14,Virginia,VA,51800,"Suffolk city, Virginia",28.0,41929.0,15.3,84.7,25.1,8.7,76.2,35185.89397,52.3,41.4,0.25,1.5,1.9,2.7,18.1,8.35,82823,47.9,10.95,0.415,16.3,35.5,14.95,24.35,0.6,9.8,14.75,52.3,41.4,2.7,1.5,0.25,1.9,53.8,0.44624625,37.5,-76.6347808,36.6971573,2.8,2.8,0.1,36.8,0.364,0.192,0.324,0.11900000000000001,859.5,319.8,0.128,0.068,323.0,7.42,50.9,10.0,15.55,4884.5,1044.5,1466.5,1138.5,1235.0,598.0,702.0,493.5,418.5,518.5,319.0,771.5,870.5,672.5,583.5,695.0,472.0,614.5,721.5,507.5,51800.0,15.44444444,1240.663,28.0,0.0,41929.0,39908.0,42566.0,297.0,479.0,0
15,Pennsylvania,PA,42001,"Adams County, Pennsylvania",49.0,47138.0,15.3,84.7,18.5,7.3,79.3,28378.736189999996,90.7,1.5,0.1,0.7,1.15,5.8,15.6,7.05,101209,46.1,7.3,0.38799999999999996,10.4,27.7,16.8,23.0,1.15,11.1,20.35,90.7,1.5,5.8,0.7,0.1,1.15,91.4,0.82642025,40.2,-77.2177296,39.86947070000001,4.2,3.2,0.07,26.5,0.278,0.21,0.28300000000000003,0.115,175.5,72.3,0.125,0.066,150.51,1.71,56.5,8.6,228.06,4383.8,939.0,1132.4,1182.4,1130.0,518.8,622.8,415.0,314.4,403.0,225.4,718.0,826.2,609.6,502.6,613.0,392.2,537.4,645.4,429.8,42001.0,11.04444444,1113.4852,49.0,0.0,47138.0,44596.0,42457.0,614.0,599.0,1
16,Oregon,OR,41021,"Gilliam County, Oregon",3.0,937.0,15.2,84.8,18.8,4.3,68.4,30898.942860000003,90.35,0.25,0.7,0.4,2.65,5.65,14.75,9.65,1747,7.0,10.7,0.381,16.05,33.3,13.85,15.95,9.5,9.7,17.75,90.35,0.25,5.65,0.4,0.7,2.65,90.75,0.8202780000000001,49.9,-120.2118514,45.381665999999996,,,,,0.316,,0.272,0.102,206.5,,0.18,0.07400000000000001,36.44,,,,475.0,1187.0,443.0,140.0,318.5,285.5,511.0,622.5,399.5,341.5,413.0,270.5,687.0,831.5,543.0,501.0,616.0,386.5,510.5,625.5,395.5,41021.0,10.61111111,301.498,3.0,0.0,937.0,1110.0,1061.0,32.0,51.0,1
17,Michigan,MI,26101,"Manistee County, Michigan",16.0,12598.0,13.1,86.9,16.8,6.6,70.35,21702.32699,90.9,3.1,1.4,0.4,1.4,2.9,20.15,8.7,24737,44.7,12.9,0.42100000000000004,16.75,26.55,23.85,22.35,0.95,10.05,16.2,90.9,3.1,2.9,0.4,1.4,1.4,91.3,0.828491,45.9,-86.60296720000001,44.3503854,4.0,4.6,0.09,36.6,0.316,0.314,0.287,0.109,141.6,31.0,0.155,0.102,159.48,,80.9,,204.2,3470.0,575.0,1043.0,837.0,1015.0,473.0,562.0,385.0,264.0,325.0,203.0,675.0,781.0,569.0,449.0,549.0,348.0,503.0,587.0,418.0,26101.0,8.5,881.38,16.0,0.0,12598.0,13009.0,12402.0,264.0,192.0,1
18,Texas,TX,48331,"Milam County, Texas",9.0,8607.0,18.5,81.5,13.5,4.3,76.45,22497.38318,65.9,9.7,0.35,0.3,1.25,22.55,35.1,13.25,24768,32.5,17.65,0.462,25.65,26.75,16.65,23.35,2.65,13.2,17.4,65.9,9.7,22.55,0.3,0.35,1.25,66.2,0.49471775,39.8,-96.9843946,30.791241999999997,4.8,,0.08,65.6,0.359,0.22,0.312,0.12,498.0,139.9,0.249,0.079,154.61,5.72,80.2,8.4,152.85,3521.5,791.5,818.0,972.0,940.0,,,,,,,,,,,,,,,,48331.0,,894.461,9.0,0.0,8607.0,8357.0,8230.0,96.0,113.0,1
19,Ohio,OH,39033,"Crawford County, Ohio",37.0,18702.0,14.2,85.8,10.5,3.7,76.1,24236.30254,96.5,0.75,0.1,0.4,1.1,1.15,31.4,6.25,43982,41.0,12.45,0.39299999999999996,20.45,23.65,19.1,22.0,0.45,8.6,26.2,96.5,0.75,1.15,0.4,0.1,1.1,96.9,0.9315515,41.3,-82.92477120000001,40.848508,3.0,3.8,0.08,45.8,0.335,0.321,0.359,0.135,198.2,42.3,0.147,0.087,132.69,,74.9,7.7,323.85,4020.0,761.0,1287.0,1053.0,919.0,497.5,598.5,396.5,276.5,355.0,197.5,706.0,819.5,593.0,482.0,589.5,374.5,522.0,625.0,418.5,39033.0,9.861111111,1021.08,37.0,0.0,18702.0,21174.0,19847.0,569.0,488.0,1
20,Alabama,AL,1017,"Chambers County, Alabama",23.0,13778.0,28.2,71.8,10.8,3.7,73.85,23437.68032,58.95,37.95,0.2,0.35,1.05,1.45,31.85,14.5,34459,63.2,18.15,0.425,26.1,22.4,14.35,26.15,0.4,12.55,24.15,58.95,37.95,1.45,0.35,0.2,1.05,59.3,0.49186725,40.1,-85.3918121,32.917943300000005,5.0,4.3,0.12,62.6,0.516,0.24100000000000002,0.354,0.15,766.1,318.2,0.179,0.09300000000000001,575.7,8.21,77.5,6.7,200.45,5231.5,1451.0,1310.5,1348.0,1122.0,616.0,736.5,495.5,446.0,565.5,326.5,778.0,887.0,669.0,609.5,741.0,478.5,626.0,748.0,504.0,1017.0,16.44444444,1328.8010000000002,23.0,0.0,13778.0,14956.0,14629.0,90.0,132.0,1
21,Oklahoma,OK,40035,"Craig County, Oklahoma",12.0,5778.0,19.5,80.5,13.5,5.0,74.05,22546.05429,66.0,3.05,17.9,0.4,10.45,2.2,15.0,16.4,15054,51.4,18.1,0.4,18.5,30.25,21.6,20.0,2.35,10.4,15.5,66.0,3.05,2.2,0.4,17.9,10.45,66.4,0.4799915,40.9,-95.2015531,36.7638896,4.1,4.3,0.09,67.6,0.29,0.21100000000000002,0.358,0.136,331.7,137.6,0.221,0.051,182.55,,96.4,,224.0,4336.0,694.0,1093.0,1300.0,1249.0,589.0,694.0,483.0,376.0,480.0,272.0,791.0,890.0,692.0,581.0,691.0,470.0,604.0,713.0,496.0,40035.0,14.94444444,1101.344,12.0,0.0,5778.0,5931.0,5306.0,0.0,0.0,1
22,Arkansas,AR,5075,"Lawrence County, Arkansas",28.0,5685.0,25.2,74.8,9.2,3.1,76.45,20430.81365,96.45,0.55,0.85,0.05,1.15,1.0,41.15,14.0,17163,62.9,24.15,0.42700000000000005,39.25,25.7,17.55,22.4,2.75,10.45,21.15,96.45,0.55,1.0,0.05,0.85,1.15,96.5,0.93059525,39.7,-91.10115290000002,36.041098299999994,4.0,,0.08,48.1,0.29600000000000004,0.163,0.38,0.124,326.0,,0.21100000000000002,0.09,164.09,,86.5,,75.9,4836.5,1198.5,956.0,1412.5,1269.5,,,,,,,,,,,,,,,,5075.0,,1228.471,28.0,0.0,5685.0,5830.0,5540.0,335.0,216.0,1
23,North Carolina,NC,37115,"Madison County, North Carolina",12.0,10966.0,22.7,77.3,19.2,5.6,78.1,23921.37715,95.25,1.25,0.25,0.3,1.05,1.9,21.0,16.5,20495,17.0,16.9,0.424,18.65,27.45,18.55,25.7,0.45,11.8,16.05,95.25,1.25,1.9,0.3,0.25,1.05,95.55,0.907899,43.2,-82.7127309,35.8640801,4.8,,0.08,31.4,0.303,0.22399999999999998,0.3,0.11,269.0,77.7,0.18600000000000003,0.092,50.01,,77.9,,552.0,4171.666667,978.6666667000002,1252.0,1129.333333,811.6666667000001,,,,,,,,,,,,,,,,37115.0,,1059.603333,12.0,0.0,10966.0,10379.0,10113.0,161.0,225.0,1
24,Ohio,OH,39011,"Auglaize County, Ohio",39.0,22860.0,9.7,90.3,15.5,5.9,77.7,28835.72254,96.9,0.35,0.25,0.5,1.05,1.05,12.9,5.55,46284,52.8,7.1,0.405,9.35,27.15,14.2,21.65,1.05,9.15,26.8,96.9,0.35,1.05,0.5,0.25,1.05,97.4,0.939225,39.1,-84.2240177,40.561309,2.9,3.2,0.06,34.8,0.20199999999999999,0.155,0.327,0.11900000000000001,172.3,39.8,0.12,0.055999999999999994,38.66,,59.1,5.9,,,,,,,,,,,,,,,,,,,,,,,,,39.0,0.0,22860.0,23516.0,23447.0,364.0,447.0,1
25,Iowa,IA,19027,"Carroll County, Iowa",14.0,10435.0,10.4,89.6,20.0,3.8,77.15,27503.02222,97.1,0.2,0.1,0.6,0.55,1.5,18.35,11.7,20790,48.2,10.65,0.424,14.3,28.2,17.2,25.85,2.15,9.3,17.35,97.1,0.2,1.5,0.6,0.1,0.55,97.7,0.94313725,42.2,-94.86764709999999,42.039491999999996,2.4,2.6,0.05,25.0,0.28600000000000003,0.213,0.317,0.081,172.6,,0.091,0.037000000000000005,47.97,,68.3,,378.0,3431.0,303.0,1405.0,1002.0,721.0,478.0,586.0,370.0,216.0,309.0,123.0,717.0,826.0,608.0,477.0,593.0,361.0,496.0,611.0,381.0,19027.0,8.777777777999999,871.4739999999999,14.0,0.0,10435.0,10395.0,10674.0,171.0,126.0,1
26,New York,NY,36111,"Ulster County, New York",163.0,77134.0,12.5,87.5,29.5,13.6,79.8,30710.44794,82.65,5.45,0.2,1.65,2.0,8.0,17.2,6.85,182001,54.6,11.45,0.43,15.15,37.5,17.8,24.75,0.5,9.5,9.95,82.65,5.45,8.0,1.65,0.2,2.0,84.3,0.69314875,41.2,-74.265447,41.9472321,3.9,3.4,0.07,18.1,0.321,0.22699999999999998,0.273,0.09300000000000001,221.4,442.8,0.127,0.08800000000000001,216.85,1.96,49.6,6.2,361.98,5251.6,1124.6,1384.6,1333.0,1409.4,,,,,,,,,,,,,,,,36111.0,,1333.9064,163.0,0.0,77134.0,89149.0,78315.0,1529.0,2088.0,0
27,Virginia,VA,51085,"Hanover County, Virginia",37.0,62313.0,8.8,91.2,33.0,10.9,82.9,38272.70413,85.75,9.4,0.25,1.25,1.45,1.85,4.85,7.3,99232,61.6,4.45,0.39299999999999996,5.15,42.15,12.65,27.3,0.4,9.8,7.65,85.75,9.4,1.85,1.25,0.25,1.45,87.0,0.74485725,40.4,-77.4909916,37.7601655,2.7,3.6,0.08,15.7,0.192,0.17,0.266,0.091,206.3,97.1,0.099,0.055,78.67,2.62,41.6,4.3,64.8,4407.0,975.5,1216.0,1132.5,1083.0,580.0,688.5,471.5,391.0,491.0,291.0,762.5,866.0,659.0,571.5,691.5,452.0,591.0,701.0,481.0,51085.0,14.44444444,1119.378,37.0,0.0,62313.0,56248.0,59058.0,457.0,824.0,1
28,Oregon,OR,41045,"Malheur County, Oregon",24.0,9950.0,21.0,79.0,13.8,5.2,74.15,19990.19842,65.1,1.05,0.75,1.35,2.1,29.65,33.7,10.45,31094,37.2,19.95,0.419,26.35,28.25,19.05,22.2,7.15,9.2,14.25,65.1,1.05,29.65,1.35,0.75,2.1,66.45,0.5125029999999999,36.0,-117.60397590000001,43.1876999,3.4,1.7,0.07,68.4,0.299,0.228,0.28300000000000003,0.094,399.1,79.2,0.213,0.098,193.09,,64.5,6.3,1260.728571,,,,,,479.85714289999993,626.2857142999999,333.57142860000005,299.0,400.7142857,197.4285714,672.0,854.5714286,489.42857139999995,465.14285710000007,608.0,322.14285710000007,480.2857143,638.2857142999999,322.14285710000007,41045.0,8.880952381,,24.0,0.0,9950.0,10433.0,9956.0,327.0,346.0,1
29,Kansas,KS,20055,"Finney County, Kansas",27.0,9731.0,30.2,69.8,17.3,6.3,73.05,25631.79969,48.6,1.55,0.4,2.95,1.1,45.4,27.4,7.6,38889,37.3,14.2,0.41,21.65,22.45,16.05,25.6,3.5,8.7,23.7,48.6,1.55,45.4,2.95,0.4,1.1,51.55,0.44355950000000005,30.2,-100.73992890000001,38.0498552,3.2,2.8,0.08,79.4,0.247,0.209,0.332,0.08800000000000001,512.4,63.4,0.193,0.044000000000000004,364.75,,64.8,6.1,855.1666667000002,1944.0,152.66666669999998,865.0,600.0,326.3333333,,,,,,,,,,,,,,,,20055.0,,493.776,27.0,0.0,9731.0,10354.0,9084.0,153.0,183.0,1
30,New Mexico,NM,35055,"Taos County, New Mexico",36.0,15103.0,11.7,88.3,30.1,11.0,70.9,20781.83397,36.55,0.25,5.55,0.4,1.6,55.6,40.5,15.1,32190,39.2,17.75,0.465,29.35,29.2,22.55,26.15,1.15,12.9,8.05,36.55,0.25,55.6,0.4,5.55,1.6,36.95,0.44608475,44.1,-105.6379865,36.576528700000004,4.2,3.8,0.11,49.8,0.513,0.16399999999999998,0.18,0.071,413.2,126.7,0.255,0.091,510.29,7.51,113.6,,2475.228571,1851.714286,302.85714289999993,714.5714286,416.0,418.2857143,,,,,,,,,,,,,,,,35055.0,,470.33542860000006,36.0,0.0,15103.0,16886.0,15339.0,204.0,631.0,0
31,Virginia,VA,51530,"Buena Vista city, Virginia",2.0,2395.0,27.2,72.8,16.5,6.8,73.65,23668.84603,90.65,5.4,0.7,0.2,1.55,1.5,38.05,5.95,6467,84.2,20.15,0.39799999999999996,28.95,26.55,16.85,21.35,2.2,8.8,24.25,90.65,5.4,1.5,0.2,0.7,1.55,90.85,0.8251765,38.5,-79.3563746,37.731663399999995,,,0.06,23.6,0.409,,0.29100000000000004,0.10099999999999999,316.5,,0.16699999999999998,0.073,138.27,,,,266.75,4504.5,991.25,1155.5,1195.0,1162.75,,,,,,,,,,,,,,,,51530.0,,1144.143,2.0,0.0,2395.0,2423.0,2526.0,33.0,43.0,1
32,New York,NY,36009,"Cattaraugus County, New York",55.0,28961.0,12.6,87.4,18.1,8.4,77.25,23243.69873,92.4,1.2,2.7,0.65,1.6,1.45,29.25,9.6,80333,47.8,15.85,0.405,25.1,28.55,18.8,23.8,1.45,10.5,16.95,92.4,1.2,1.45,0.65,2.7,1.6,93.05,0.8551575000000001,40.3,-78.68100550000001,42.2448527,4.0,2.9,0.07,34.8,0.332,0.231,0.275,0.106,281.8,139.2,0.132,0.08900000000000001,223.57,2.11,51.7,7.2,447.74,4517.2,957.6,1319.2,1026.2,1214.2,,,,,,,,,,,,,,,,36009.0,,1147.3688,55.0,0.0,28961.0,32617.0,29767.0,540.0,549.0,1
33,Kansas,KS,20199,"Wallace County, Kansas",6.0,779.0,13.0,87.0,23.4,5.0,79.95,24841.25937,91.6,0.05,1.05,0.05,0.45,6.85,4.35,7.25,1514,21.1,15.25,0.4,23.3,38.65,11.8,16.75,7.6,12.95,12.25,91.6,0.05,6.85,0.05,1.05,0.45,91.65,0.84387925,48.2,-101.77110309999999,38.9266259,,,,,0.036000000000000004,,0.315,0.113,,,0.16,0.039,66.93,,,,1114.05,1936.5,140.25,910.0,538.0,348.25,,,,,,,,,,,,,,,,20199.0,,491.871,6.0,0.0,779.0,804.0,798.0,18.0,11.0,1
